PMT_SITE,p_treated_max,p_treated_mean,n_windows,any_treated
1505124EYRAUD10,0.9722,0.9722,1,1
1505124RICO16A,0.8924,0.8924,1,1
1505124S17,0.9514,0.9514,1,1
150553216F,0.9792,0.9792,1,1
150553216H,0.9792,0.9792,1,1
150553219D,0.9974,0.9974,1,1
150553220A,1.0000,1.0000,1,1
150553220F1,1.0000,1.0000,1,1
150553220G1,1.0000,1.0000,1,1
150553221E1A,0.9792,0.9792,1,1
150553221E2A,0.9792,0.9792,1,1
150553221F,0.9236,0.9236,1,1
150553221G,1.0000,1.0000,1,1
150553221H,1.0000,1.0000,1,1
150553228E,1.0000,1.0000,1,1
150553229B1,1.0000,1.0000,1,1
150553229E,1.0000,1.0000,1,1
150553229H1,1.0000,1.0000,1,1
150553230A,1.0000,1.0000,1,1
150553230D1,1.0000,1.0000,1,1
150553230F1,0.9444,0.9444,1,1
150553230G,1.0000,1.0000,1,1
150553232A,1.0000,1.0000,1,1
150553232D1,0.9514,0.9514,1,1
1505532NMA,1.0000,1.0000,1,1
1505532NMBE,1.0000,1.0000,1,1
1505532NMBW,1.0000,1.0000,1,1
1505532NMCE1,0.9479,0.9479,1,1
1505532NMCW1,0.9792,0.9792,1,1
1505532NMD1,1.0000,1.0000,1,1
1505532SMB1,0.9688,0.9688,1,1
1505532SMH,0.9688,0.9688,1,1
150559121GN02GA,1.0000,1.0000,1,1
150559121GN06GA,0.9792,0.9792,1,1
150559121KV07GA,1.0000,1.0000,1,1
150559121KZ73GA,1.0000,1.0000,1,1
150559121SK15FA,0.2807,0.1825,3,0
150559122GN04GA,0.0833,0.0833,2,0
150559122GN08GA,0.0000,0.0000,1,0
150559122GN15GA,0.1042,0.0938,2,0
