PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
1500635SAND8P,0,2020,1,1.0000,1,1,0.4681,1.1525,0.8103
1500635SANDW1P,0,2020,1,1.0000,1,0,0.3782,0.9982,0.6882
1500635SANDW1P,1,2021,1,0.9201,1,0,0.3961,1.0272,0.7116
1500635SANDW2P,0,2020,1,1.0000,1,0,0.3742,1.0141,0.6942
1500635SANDW2P,1,2021,1,0.7292,1,0,0.3954,1.0097,0.7026
1500635SANDW3P,0,2020,1,1.0000,1,0,0.3953,0.9968,0.6960
1500635SANDW3P,1,2021,0,0.3021,1,0,0.3982,1.0114,0.7048
1500635SANDW3PP,0,2021,1,0.9514,1,0,0.3795,0.9947,0.6871
1500635SANDW4P,0,2020,1,0.9236,1,0,0.3949,0.9869,0.6909
1500635SANDW5P,0,2021,1,0.9201,1,1,0.5267,1.4035,0.9651
1500635SCANALW,0,2021,0,0.3021,1,0,0.3788,1.0104,0.6946
1500635SHOPNP,0,2020,1,0.9201,1,0,0.4094,1.2206,0.8150
1500635SHOPWP,1,2020,1,0.9792,1,0,0.3847,1.0039,0.6943
1500635SLINP,1,2021,1,1.0000,1,0,0.4444,1.7224,1.0834
1500635STOCKWP,1,2021,1,1.0000,1,0,0.4105,1.0430,0.7267
1500635WERN115p,0,2021,1,0.9792,1,0,0.4247,1.1993,0.8120
1500635WERN1P,0,2020,1,1.0000,1,0,0.3936,1.0775,0.7356
1500635WERN2P,0,2021,1,1.0000,1,1,0.4456,1.3266,0.8861
1500635WERN3P,0,2021,1,0.9051,1,0,0.3986,1.0345,0.7165
1500635WERN4P,1,2020,1,0.9792,1,0,0.4110,1.0304,0.7207
1500635WN80P,0,2020,1,0.9188,1,0,0.3936,1.1091,0.7514
15008241KPSP20,0,2020,0,0.1930,1,1,0.4529,1.1915,0.8222
15008241PF20,0,2020,0,0.2500,0,0,0.4686,1.0773,0.7730
15008242PS20,0,2020,0,0.2317,1,0,0.3726,1.0464,0.7095
15008243KPSP20,0,2020,0,0.2778,1,1,0.4205,1.3163,0.8684
1500915121P,1,2021,1,1.0000,1,0,0.3942,1.0999,0.7471
1500915123E,0,2020,1,0.9792,1,0,0.4110,1.0417,0.7263
1500915123WP,1,2021,1,1.0000,1,0,0.3867,1.0336,0.7102
1500915124E,0,2020,1,1.0000,1,0,0.3892,1.0419,0.7156
1501361071120JP,0,2020,1,1.0000,1,0,0.3719,0.9744,0.6732
1501361071220JP,0,2020,1,1.0000,1,0,0.3693,0.9887,0.6790
1501361071721PO,0,2021,1,0.9479,1,0,0.3583,1.0002,0.6793
15022770121SP,1,2021,1,0.8146,1,0,0.3673,0.9815,0.6744
15022770221SP,1,2021,1,0.9792,1,0,0.3627,0.9788,0.6708
15022770320SC,0,2020,1,0.9479,1,0,0.4173,1.3047,0.8610
15022770421FP,0,2020,0,0.1930,0,1,0.6533,1.7494,1.2013
15022770421FP,1,2021,1,0.8076,0,1,0.5733,3.0182,1.7958
15022770621SP,0,2020,1,0.6663,0,1,0.6054,1.6921,1.1487
15022770621SP,1,2021,1,0.9792,1,0,0.3862,1.0023,0.6942
15022770721SP,1,2021,1,0.8710,1,0,0.3888,0.9977,0.6933
15022770820SP,0,2020,1,0.9265,1,0,0.3676,0.9909,0.6793
15022770920SP,0,2020,1,0.8182,1,1,0.5035,2.4396,1.4716
15022771020SP,0,2020,1,1.0000,1,0,0.3561,0.9758,0.6660
15022771021SP,0,2020,1,1.0000,1,0,0.3566,0.9763,0.6665
1502277120FP,0,2020,1,1.0000,0,1,0.5416,1.8197,1.1806
15022771820FP,1,2020,1,0.7903,0,0,0.4662,1.1594,0.8128
